"","GEOID","NAMELSAD","Rank_DEQ_F_Withdrawls","Rank_Deq_fac","Rank_census_Irr_Acreage","Rank_census_Operations","Acreage_withdarwal_difference","Facilities_Operations_difference"
"1",51001,"Accomack County",1,2,3,11,-2,-9
"2",51007,"Amelia County",30,17,28,27,2,-10
"3",51015,"Augusta County",12,5,6,2,6,3
"4",51019,"Bedford County",27,26,37,14,-10,12
"5",51031,"Campbell County",14,27,25,16,-11,11
"6",51033,"Caroline County",3,6,5,18,-2,-12
"7",51036,"Charles City County",7,7,11,32,-4,-25
"8",51037,"Charlotte County",28,28,23,9,5,19
"9",51043,"Clarke County",26,18,30,28,-4,-10
"10",51045,"Craig County",35,29,31,33,4,-4
"11",51047,"Culpeper County",16,19,21,12,-5,7
"12",51053,"Dinwiddie County",22,8,9,17,13,-9
"13",51063,"Floyd County",21,30,29,5,-8,25
"14",51083,"Halifax County",36,31,13,6,23,25
"15",51085,"Hanover County",2,4,4,3,-2,1
"16",51093,"Isle of Wight County",17,20,16,20,1,0
"17",51097,"King and Queen County",6,12,12,23,-6,-11
"18",51101,"King William County",9,13,8,34,1,-21
"19",51119,"Middlesex County",25,21,27,35,-2,-14
"20",51121,"Montgomery County",19,14,24,21,-5,-7
"21",51125,"Nelson County",5,22,14,7,-9,15
"22",51127,"New Kent County",24,23,26,22,-2,1
"23",51131,"Northampton County",4,1,1,13,3,-12
"24",51139,"Page County",23,32,32,36,-9,-4
"25",51143,"Pittsylvania County",37,24,10,4,27,20
"26",51145,"Powhatan County",31,33,36,31,-5,2
"27",51153,"Prince William County",29,10,15,15,14,-5
"28",51161,"Roanoke County",33,34,35,24,-2,10
"29",51165,"Rockingham County",10,3,2,1,8,2
"30",51171,"Shenandoah County",20,15,18,8,2,7
"31",51175,"Southampton County",13,9,7,26,6,-17
"32",51177,"Spotsylvania County",34,35,33,25,1,10
"33",51181,"Surry County",18,25,17,29,1,-4
"34",51183,"Sussex County",11,11,20,37,-9,-26
"35",51193,"Westmoreland County",8,16,19,10,-11,6
"36",51550,"Chesapeake city",32,36,34,19,-2,17
"37",51800,"Suffolk city",15,37,22,30,-7,7
